"ID","Species","authors_gbifID","year_of_publication","country_of_collection","locallity_of_collection","y","x","coordinate_source","year_of_collection","identification_method"
148,"target_group","1826363354",NA,"Senegal","Mbane. Richard Toll. St Louis",16.270701,-15.801437,"gbif","2016","unknown"
149,"target_group","1826363380",NA,"Senegal","Syer. Richard Toll. St Louis",16.071476,-15.894755,"gbif","2016","unknown"
150,"target_group","1826363398",NA,"Senegal","Mbarigot. Richard Toll. St Louis",16.090194,-16.36406,"gbif","2016","unknown"
151,"target_group","1826363437",NA,"Côte d'Ivoire","Tchologo. Ouangolodougou. Noumousso",10.106774,-5.141781,"gbif","2016","unknown"
152,"target_group","1826363439",NA,"Senegal","Mbarigot. Richard Toll. St Louis",16.09348,-16.358521,"gbif","2016","unknown"
153,"target_group","1826363442",NA,"Yemen","Al-Mahweet. Alahjor",15.461692,43.867054,"gbif","2016","unknown"
154,"target_group","1826363466",NA,"Senegal","Malla. Richard Toll. St Louis",16.146737,-15.918919,"gbif","2016","unknown"
155,"target_group","1826363475",NA,"Senegal","Diokhoul. Richard Toll. St Louis",15.964955,-15.967412,"gbif","2016","unknown"
156,"target_group","1826363484",NA,"Yemen","Al-Mahweet. Alahjor",15.471289,43.859135,"gbif","2016","unknown"
157,"target_group","1826363485",NA,"Senegal","Guidik. Richard Toll. St Louis",16.112411,-15.905054,"gbif","2016","unknown"
158,"target_group","1826363498",NA,"Côte d'Ivoire","Foroforo. Foroforo",7.9945,-5.0731,"gbif","2016","unknown"
159,"target_group","1826363595",NA,"Senegal","Mbarigot. Richard Toll. St Louis",16.090944,-16.36166,"gbif","2016","unknown"
160,"target_group","1826363642",NA,"Yemen","",15.544256,43.876018,"gbif","2016","unknown"
161,"target_group","1826363652",NA,"Yemen","",15.547718,43.874141,"gbif","2016","unknown"
162,"target_group","1826363654",NA,"Yemen","Hajah. Hajah",15.707422,43.602261,"gbif","2016","unknown"
163,"target_group","1826363679",NA,"Yemen","Hajah. Hajah",15.722815,43.590554,"gbif","2016","unknown"
164,"target_group","1826363716",NA,"Chad","N'Djamena",12.088112,15.066646,"gbif","2013","unknown"
165,"target_group","1826363718",NA,"Senegal","St Louis; Sanen",16.2559,-15.79565,"gbif","2016","unknown"
166,"target_group","1826363769",NA,"Chad","N'Djamena. N'Djamena",12.085861,15.080194,"gbif","2013","unknown"
167,"target_group","1826363787",NA,"Senegal","St Louis; Temey",16.335233,-15.77005,"gbif","2016","unknown"
168,"target_group","1826363797",NA,"Chad","N'Djamena. N'Djamena",12.122389,14.999639,"gbif","2013","unknown"
169,"target_group","1826363816",NA,"Senegal","Foss. Richard Toll. St Louis",16.159705,-15.846237,"gbif","2016","unknown"
170,"target_group","1826363903",NA,"Chad","N'Djamena. N'Djamena",12.071889,15.124667,"gbif","2013","unknown"
171,"target_group","1826363904",NA,"Chad","N'Djamena. N'Djamena",12.088639,15.117167,"gbif","2013","unknown"
172,"target_group","1826363923",NA,"Côte d'Ivoire","Tchologo. Ouangolodougou. Mambiadougou",10.117993,-5.123584,"gbif","2016","unknown"
173,"target_group","1826363930",NA,"Chad","N'Djamena. N'Djamena",12.08175,15.12375,"gbif","2013","unknown"
174,"target_group","1826363935",NA,"Chad","N'Djamena. N'Djamena",12.086306,15.1085,"gbif","2013","unknown"
175,"target_group","1826363962",NA,"Chad","N'Djamena. N'Djamena",12.086972,15.08175,"gbif","2013","unknown"
176,"target_group","1826363974",NA,"Chad","N'Djamena. N'Djamena",12.084694,15.09025,"gbif","2013","unknown"
177,"target_group","1826363988",NA,"Chad","N'Djamena. N'Djamena",12.090056,15.050278,"gbif","2013","unknown"
178,"target_group","1826363992",NA,"Côte d'Ivoire","Tchologo. Ferkessedougou. Sambakaha",9.402801,-5.105916,"gbif","2016","unknown"
179,"target_group","1826364004",NA,"Senegal","Maka Diama. Richard Toll. St Louis",16.215941,-16.383904,"gbif","2016","unknown"
180,"target_group","1826364119",NA,"Côte d'Ivoire","Tchologo. Ouangolodougou. Torla",9.98754,-5.179811,"gbif","2017","unknown"
181,"target_group","1826364128",NA,"Côte d'Ivoire","Tchologo. Ferkessedougou. Sambakaha",9.403234,-5.104302,"gbif","2017","unknown"
182,"target_group","1826364149",NA,"Côte d'Ivoire","Tchologo. Ouangolodougou. Korokara",9.861649,-5.604984,"gbif","2017","unknown"
183,"target_group","1826364173",NA,"Chad","N'Djamena. N'Djamena",12.087806,15.116917,"gbif","2013","unknown"
184,"target_group","1826364186",NA,"Chad","N'Djamena. N'Djamena",12.084083,15.091167,"gbif","2013","unknown"
185,"target_group","1826364308",NA,"Côte d'Ivoire","Tchologo. Ouangolodougou. Korokara",9.86202,-5.604348,"gbif","2016","unknown"
186,"target_group","1826364312",NA,"Côte d'Ivoire","Hambol. Katiola. Foroforo",7.994865,-5.067945,"gbif","2017","unknown"
187,"target_group","1826364320",NA,"Côte d'Ivoire","Bounkani. Bouna. Djemitedouo",9.285437,-2.967282,"gbif","2017","unknown"
188,"target_group","1826364333",NA,"Côte d'Ivoire","Tchologo. Ouangolodougou. Korokara",9.861186,-5.60463,"gbif","2017","unknown"
189,"target_group","1826364357",NA,"Chad","N'Djamena. N'Djamena",12.0995,15.046806,"gbif","2013","unknown"
190,"target_group","1826364363",NA,"Côte d'Ivoire","Tchologo. Ouangolodougou. Korokara",9.861308,-5.603859,"gbif","2016","unknown"
191,"target_group","1826364364",NA,"Chad","N'Djamena. N'Djamena",12.082028,15.123917,"gbif","2013","unknown"
192,"target_group","1826364372",NA,"Côte d'Ivoire","Hambol. Katiola. Foroforo",7.967133,-5.050886,"gbif","2016","unknown"
193,"target_group","1826364378",NA,"Chad","N'Djamena. N'Djamena",12.089917,15.051111,"gbif","2013","unknown"
194,"target_group","1826364379",NA,"Côte d'Ivoire","Tchologo. Ouangolodougou. Korokara",9.861271,-5.604706,"gbif","2016","unknown"
195,"target_group","1826364447",NA,"Côte d'Ivoire","Tchologo. Ferkessedougou. Dekokaha",9.651178,-5.179627,"gbif","2017","unknown"
196,"target_group","1826364456",NA,"Côte d'Ivoire","Bounkani. Bouna. Djemitedouo",9.295065,-2.969504,"gbif","2017","unknown"
197,"target_group","1826364613",NA,"Côte d'Ivoire","Gbeke. Beoumi. Kongobo",7.769788,-5.476973,"gbif","2016","unknown"
