"source","population","temperature","country","weeks_survived","survived","exp_length","sample_size","experiment_index","population_index"
,,24,"Zimbabwe",10,0,15,,14,2
,,24,"Zimbabwe",,1,7,,14,2
,,24,"Zimbabwe",,1,-1,,14,2
,,24,"Zimbabwe",,1,13,,14,2
,,24,"Zimbabwe",,1,13,,14,2
,,24,"Zimbabwe",,1,10,,14,2
,,24,"Zimbabwe",,1,-1,,14,2
,,24,"Zimbabwe",,1,-1,,14,2
,,24,"Zimbabwe",,1,2,,14,2
,,24,"Zimbabwe",6,0,15,,14,2
,,24,"Zimbabwe",,1,2,,14,2
,,24,"Zimbabwe",,1,6,,14,2
,,24,"Zimbabwe",,1,13,,14,2
,,24,"Zimbabwe",,1,7,,14,2
,,24,"Zimbabwe",,1,11,,14,2
,,24,"Zimbabwe",,1,13,,14,2
,,24,"Zimbabwe",,1,7,,14,2
,,24,"Zimbabwe",12,0,15,,14,2
,,24,"Zimbabwe",,1,-1,,14,2
,,24,"Zimbabwe",,1,5,,14,2
,,24,"Zimbabwe",,1,4,,14,2
,,24,"Zimbabwe",,1,2,,14,2
,,24,"Zimbabwe",,1,13,,14,2
,,24,"Zimbabwe",,1,13,,14,2
,,24,"Zimbabwe",,1,6,,14,2
,,24,"Zimbabwe",,1,-1,,14,2
,,24,"Zimbabwe",6,0,15,,14,2
,,24,"Zimbabwe",,1,13,,14,2
,,24,"Zimbabwe",,1,13,,14,2
,,24,"Zimbabwe",,1,13,,14,2
,,24,"Zimbabwe",,1,9,,14,2
,,24,"Zimbabwe",9,0,15,,14,2
,,24,"Zimbabwe",6,0,15,,14,2
,,24,"Zimbabwe",,1,13,,14,2
,,24,"Zimbabwe",8,0,15,,14,2
,,24,"Zimbabwe",,1,13,,14,2
,,24,"Zimbabwe",,1,13,,14,2
,,24,"Zimbabwe",,1,13,,14,2
,,24,"Zimbabwe",9,0,15,,14,2
,,24,"Zimbabwe",,1,13,,14,2
,,24,"Zimbabwe",,1,13,,14,2
,,24,"Zimbabwe",,1,13,,14,2
,,24,"Corsica",,1,10,,15,3
,,24,"Corsica",10,0,15,,15,3
,,24,"Corsica",10,0,15,,15,3
,,24,"Corsica",,1,11,,15,3
,,24,"Corsica",,1,4,,15,3
,,24,"Corsica",,1,13,,15,3
,,24,"Corsica",,1,13,,15,3
,,24,"Corsica",,1,13,,15,3
,,24,"Corsica",,1,13,,15,3
,,24,"Corsica",0,0,15,,15,3
,,24,"Corsica",,1,13,,15,3
,,24,"Corsica",,1,13,,15,3
,,24,"Corsica",,1,7,,15,3
,,24,"Corsica",,1,8,,15,3
,,24,"Corsica",0,0,15,,15,3
